RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024
2516,583,Rockwall County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,397,1376.021978,1391.524709,1395.727815,1418.87466,1429.809155,1431.035378,1436.90517,1450.861397,1457.270175,1452.420919,1445.799837,1465.967175,1474.396192,1486.25057,1496.039495,1505.665414,1515.655844,1515.004542,1524.321505,1516.958494,1517.882538,1518.998956,1525.726992,1527.343329,1530.225923,1533.710666,1542.882767,1546.150936,1553.483873,1551.600829,1559.926757,1566.761237,1573.91496,1559.530702,1565.321868,1563.992919,1587.126129,1583.701231,1582.570716,1578.093296,1580.071232,1587.083431,1596.032465,1613.123875,1618.573925,1604.614804,1593.417595,1577.262811,1592.446556,1606.136115,1635.72695,1641.669403,1647.918218,1655.939064,1666.407472,1674.475246,1669.246676,1657.917471,1650.64173,1651.519348,1676.860287,1685.260184,1699.934111,1684.125907,1689.329348,1688.841983,1706.562865,1706.082093,1714.199533,1726.145954,1737.664415,1752.829124,1764.794968,1777.876413,1788.590228,1797.25572,1825.274152,1855.232,1896.894494,1906.542482,1915.579734,1926.528455,1935.17769,1939.099719,1934.30714,1960.561377,1994.316934,2034.334849,2079.619773,2102.660227,2116.990361,2125.402248,2128.864922,2118.880188,2108.078872,2099.658935,2105.970802,2092.972846,2094.833363,2095.905498,2116.685313,2130.028564,2144.505196,2151.661652,2156.936004,2148.896757,2143.405533,2120.534947,2113.217657
2924,584,Eau Claire County,county,WI,WI,"Eau Claire, WI",55,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.3946382,957.2514698,958.3574493,976.6079173,976.788433,987.3677597,993.3525227,1005.796595,1044.908436,1048.617736,1054.768633,1042.671708,1057.426089,1064.130028,1050.49292,1070.336198,1074.593271,1088.846472,1080.260937,1091.576408,1101.20494,1106.401298,1093.884683,1079.911492,1089.261905
1326,585,Platte County,county,MO,MO,"Kansas City, MO-KS",29,165,,,,,,,,,,,,,,,,,999.304451,1010.906416,1013.519041,1014.213789,1011.31729,1029.419942,1036.292502,1036.985261,1029.091696,1025.086613,1082.660422,1092.759245,1108.508701,1067.565155,1070.843554,1063.959415,1059.617641,1058.72933,1062.46844,1063.435063,1046.358882,1052.920081,1066.19193,1089.964155,1091.240823,1095.706678,1093.279037,1093.331906,1086.902248,1074.452132,1071.605275,1065.82238,1084.832168,1079.695809,1089.034083,1089.09098,1117.16824,1121.9128,1121.967776,1118.539514,1115.995722,1115.25981,1104.821418,1105.422558,1114.553697,1118.25221,1123.068748,1121.539259,1134.059879,1146.081768,1161.366549,1172.736239,1173.420774,1171.636844,1178.602157,1181.125795,1180.935722,1182.668742,1191.625232,1213.06083,1228.055609,1250.036426,1263.918146,1266.987341,1260.409916,1255.327886,1261.575044,1269.084088,1279.207792,1287.93139,1306.643609,1328.276398,1341.924256,1361.381669,1362.857429,1372.937875,1375.63966,1379.169019,1376.656444,1373.68711,1383.031302,1379.440798,1392.240651,1398.124267,1422.086102,1433.116059,1450.818197,1463.135072,1453.436603,1443.680106,1456.109275,1447.038407,1448.5
2601,586,Woodbury County,county,IA,IA,"Sioux City, IA-NE-SD",19,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.661579,1075.365202,1082.775117,1090.945687,1101.525441,1083.350233,1085.417279,1081.368759,1118
620,587,Macon County,county,IL,IL,"Decatur, IL",17,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.7751615,852.3097072,870.8740924,867.55916,890.574965,870.1953397,878.0695264,892.2491593,894.4821045,914.7994982,919.3492063
2283,587,Franklin County,county,MO,MO,"St. Louis, MO-IL",29,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.923858,1100
68,589,Bay County,county,MI,MI,"Bay City, MI",26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.649014,1012.20321,1053.129228,1047.322016,1059.472422,1024.737245,1048.883335,1052.200446,1025.653198,999.5358202,990.0039514,1047.520308,1050.20879,1047.938055,1029.285417,1050.150355,1069.152635,1076.118231,1070.964528,1096.049311,1097.516667
3092,590,Fond du Lac County,county,WI,WI,"Fond du Lac, WI",55,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.7837179,873.6928161,873.6706389,863.2789632,861.7753003,876.2903105,909.4506652,908.2157797,907.5293888,924.6281512,942.8962568,953.8204688,939.1763025,945.086927,951.8611111
362,591,Adams County,county,PA,PA,"Gettysburg, PA",42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.980539,1028.401067,1015.92222,1002.620369,1002.598618,1035.785598,,1043.198162,1042.109084,1058.080863,1057.456689,1045.682502,1030.707669,1051.616079,1066.099019,1084.388081,1075.721155,1051.306371,1068.89629,1078.128512,1078.396933,1078.079147,1079.176925,1122.650893,1110.555556
2265,593,Flathead County,county,MT,MT,"Kalispell, MT",30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.314823,2181.611807,2178.430755,2227.71751,2231.427413,2250.770838,2261.051602,2276.449759,2282.073732,2263.659239,2192.391596,2158.420171,2119.473574,2116.611255,2147.841562,2229.16531,2259.538694,2284.941155,2268.745331,2292.375907,2297.308104,2250.06215,2222.983205,2184.218885,2176.798942
429,594,Cecil County,county,MD,MD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.820181,1418.610733,1415.150123,1418.926108,1421.55978,1410.47473,1417.458595,1427.00975,1470.748502,1500.168761,1528.077966,1543.148373,1560.69026,1570.84847,1585.516857,1595.663262,1614.506992,1618.656572,1627.517991,1655.36953,1698.510858,1714.752726,1741.69555,1744.047353,1773.974786,1763.862704,1753.948037,1744.428979,1763.561767,1765.673089,1768.943874,1778.559516,1808.302067,1816.340074,1800.048722,1791.081604,1850.541302,1889.368329,1922.218218,1883.722552,1874.607022,1851.322222
2598,595,Wicomico County,county,MD,MD,"Salisbury, MD-DE",24,45,994.6182331,1008.151183,1009.759658,1003.061161,1014.777065,1010.902685,1012.372347,1003.40103,993.8485884,995.3305202,1000.545371,1004.630205,1000.347539,999.4753371,1002.486396,1014.577539,1010.958838,1025.066464,1027.382991,1047.493055,1041.603561,1027.741872,1014.075347,1016.779891,1028.785525,1028.353384,1027.743692,1036.753261,1042.034606,1042.866858,1030.388719,1033.012119,1027.626887,1037.969062,1044.34909,1046.016774,1046.477747,1047.29383,1059.749729,1061.084643,1060.757375,1062.190489,1051.997584,1053.923654,1050.023254,1069.83387,1078.906299,1085.129061,1085.413632,1078.254233,1083.258526,1087.02025,1090.536332,1087.330951,1109.626084,1114.544701,1126.771908,1121.886091,1146.383403,1169.872101,1165.409907,1155.715483,1144.958387,1152.452962,1151.850148,1164.128033,1173.876868,1208.798653,1205.364622,1200.664929,1174.149497,1195.832858,1200.343794,1203.865351,1197.258271,1211.684771,1227.674201,1268.328699,1288.378718,1329.55841,1332.264243,1343.027743,1336.05618,1341.191829,1348.161597,1375.874393,1390.871973,1416.947161,1434.808381,1446.775324,1445.618751,1435.575884,1441.125107,1475.901896,1497.528631,1489.529951,1471.772381,1459.831769,1450.554132,1474.117863,1459.477008,1461.37448,1459.797223,1499.22111,1528.423248,1534.115574,1478.512258,1520.744353,1509.925926
2872,596,Whitfield County,county,GA,GA,"Dalton, GA",13,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.5
1652,597,Daviess County,county,KY,KY,"Owensboro, KY",21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103.331491,1109.308359,1128.022345,1132.923897,1155.76073,1126.36375,1115.161092,1104.336217,1126.643384,1190.645404,1205.19123,1208.833333
1261,600,Nevada County,county,CA,CA,"Truckee-Grass Valley, CA",6,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.780141,2252.993959,2319.21152,2329.356992,2406.086057,2390.398037,2376.061178,2316.89487,2345.910799,2365.811071,2385.872965,2347.982268,2354.790771,2365.771686,2438.042665,2478.689618,2490.069701,2464.775773,2464.234292,2467.109971,2438.24097,2432.148257,2420.144186,2396.725961,2404.074074
2780,601,Limestone County,county,AL,AL,"Huntsville, AL",1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241.607353,1262.977913,1302.678791,1309.318219,1313.152543,1320.55867,1362.897475,1378.1863,1379.936065,1357.994389,1373.56878,1389.665566,1409.650871,1404.331166,1417.158181,1447.908725,1469.56798,1474.969057,1459.443145,1456.854831,1464.284044,1489.30606,1483.423863,1485.277393,1466.530499,1476.427898,1487.181764,1510.986556,1514.808167,1522.045246,1516.767657,1541.332142,1554.039178,1580.366363,1605.440068,1622.118072,1608.628426,1592.836739,1577.486111
962,602,Craven County,county,NC,NC,"New Bern, NC",37,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.659406,1081.375197,1093.107096,1091.714225,1105.411302,1127.206652,,1120.360607,1113.588634,1123.574762,1139.86179,1160.712235,1208.304032,1245.237247,1276.463179,1289.493582,1292.078361,1284.754528,1289.966325,1272.984426,1281.528624,1248.954811,1241.138211,1243.612615,1274.129823,1305.516978,1323.346811,1316.85768,1316.98981,1306.258658,1332.131763,1318.205932,1315.78961
2724,603,Highlands County,county,FL,FL,"Sebring-Avon Park, FL",12,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.4629175,873.2358558,879.2360813,891.4865705,914.8832232,908.1978504,918.7909004,908.8923902,920.3297493,915.3031025,923.35312,900.8745183,904.446363,912.6131995,940.2294361,941.8910723,935.5427556,926.8536351,937.6295318,932.5771309,944.7455046,935.8762292,963.3918649,967.8172824,983.7221921,973.1812061,975.048737,989.0084739,1004.620479,1001.239279,986.3157169,976.7231119,980.6442753,998.1837605,1000.806689,1025.830204,1026.109175,1039.869137,1067.796038,1081.014893,1102.055356,1081.145776,1089.71666,1098.39102,1134.458738,1155.521658,1165.621839,1191.432866,1211.071584,1245.888347,1250.099826,1269.58266,1279.377585,1295.021405,1317.730257,1329.075917,1335.815768,1338.294426,1360.333265,1360.353567,1381.141619,1399.989553,1421.709421,1423.673569,1421.160334,1423.185616,1439.278751,1445.894295,1471.071592,1478.929111,1481.912294,1478.84241,1466.755532,1479.138309,1484.801044,1493.036316
1657,604,DeKalb County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,37,,,,,,,,,,,,,,,,,789.7315446,799.5057483,795.419777,802.6198489,798.6072318,801.7853972,787.7748594,786.2346513,791.9428241,811.9661784,820.1093444,822.9224773,825.2884843,826.9064705,821.316342,817.6090586,814.4725338,818.1141137,817.9756373,819.967514,825.7353468,,836.7971619,839.5192195,825.4740693,843.6470611,845.1809493,847.3345766,837.8194085,838.2342579,838.1076839,846.7435628,852.9956471,862.6013411,860.7950854,863.4469934,869.8507556,876.5657916,876.5418251,873.4384152,863.5773042,856.2329125,864.8814528,868.3667849,887.1567272,893.8798853,912.8436546,914.8834556,914.2958119,922.3941363,922.2053338,930.6735005,914.069924,918.0756024,909.9936627,911.833215,906.3598784,906.6661848,911.0594798,916.90169,933.681367,950.5056507,967.6795601,973.528904,978.7510039,969.9837113,968.3357727,967.7462465,984.6523484,988.5933456,995.548376,1011.83687,1023.953307,1043.37218,1048.755887,1056.117521,1046.180837,1058.874965,1073.535648,1078.550538,1059.519042,1038.991135,1051.240199,1064.287806,1098.467056,1089.441786,1087.457406,1072.88767,1084.761477,1105.198263,1090.633629,1088.720778,1093.5
1848,605,Laramie County,county,WY,WY,"Cheyenne, WY",56,21,894.3552797,891.1407755,891.8848606,912.6983694,925.0037631,923.7572425,925.8507966,926.0807382,930.1906515,925.8111296,927.301315,920.8840558,919.3872003,924.1465651,934.1882674,943.7393448,943.1343315,947.8278761,947.5911602,951.6640025,954.0629724,958.2253761,947.3094945,944.6014516,940.1135665,946.7126069,946.9667839,948.7105876,951.267509,951.8139771,946.2974294,951.779545,948.6092053,953.0815043,948.9728707,950.9602576,949.5378037,953.2125314,956.8546055,959.1500198,960.5254956,960.288177,968.1989837,972.1567302,983.8248839,984.9651412,989.3642174,983.4772566,987.865092,986.2320057,994.5335128,997.9344039,1001.098743,1006.490578,1010.460206,1020.806196,1024.300583,1028.19958,1027.164494,1030.426188,1035.038574,1043.080423,1040.511204,1039.162574,1036.051408,1042.619038,1049.671184,1060.821924,1064.553162,1069.201422,1073.647354,1090.55224,1091.402649,1089.046289,1085.496912,1096.584578,1111.434724,1122.709667,1138.662239,1149.644511,1166.596621,1176.163841,1179.117042,1176.539676,1174.655573,1183.428687,1187.564028,1195.218566,1206.803886,1219.379206,1229.8362,1244.851429,1248.079306,1250.711131,1242.980545,1238.271574,1250.860809,1262.581769,1272.42958,1271.052996,1260.76103,1266.273472,1269.784105,1279.742464,1278.202626,1282.543881,1276.635492,1293.189601,1289.234442
1718,606,Garland County,county,AR,AR,"Hot Springs, AR",5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.255335,1093.507748,1071.633835,1054.573467,1057.235765,1111.337067,1149.717893,1141.405977,1121.752599,1122.294459,1154.080127,1151.046685,1163.97556,1182.529763,1201.998182,1198.516934,1174.749781,1163.961484,1185.952763,1248.409148,1262.081268,1240.842017,1182.544462,1203.967299,1215.539004,1259.488137,1246.174279,1265.009596,1259.32463,1291.630915,1278.787664,1276.8
